Package                           Version      Latest      Type
nbformat                          5.9.2        5.10.4      wheel
networkx                          3.1          3.4.2       wheel
nltk                              3.8.1        3.9.1       wheel
notebook                          7.0.8        7.3.2       wheel
notebook_shim                     0.2.3        0.2.4       wheel
numba                             0.59.0       0.60.0      wheel
numexpr                           2.8.7        2.10.2      wheel
numpy                             1.26.4       2.2.1       wheel
numpydoc                          1.5.0        1.8.0       wheel
openpyxl                          3.0.10       3.1.5       wheel
openvino                          2023.2.0     2024.6.0    wheel
overrides                         7.4.0        7.7.0       wheel
packaging                         23.1         24.2        wheel
pandas                            2.1.4        2.2.3       wheel
pandocfilters                     1.5.0        1.5.1       wheel
panel                             1.3.8        1.5.5       wheel
param                             2.0.2        2.2.0       wheel
paramiko                          2.8.1        3.5.0       wheel
parsel                            1.8.1        1.9.1       wheel
parso                             0.8.3        0.8.4       wheel
partd                             1.4.1        1.4.2       wheel
pathspec                          0.10.3       0.12.1      wheel
patsy                             0.5.3        1.0.1       wheel
pexpect                           4.8.0        4.9.0       wheel
pillow                            10.2.0       11.0.0      wheel
pip                               23.3.1       24.3.1      wheel
pkginfo                           1.9.6        1.12.0      wheel
platformdirs                      3.10.0       4.3.6       wheel
playwright                        1.43.0       1.49.1      wheel
plotly                            5.9.0        5.24.1      wheel
pluggy                            1.0.0        1.5.0       wheel
prometheus-client                 0.14.1       0.21.1      wheel
prompt-toolkit                    3.0.43       3.0.48      wheel
Protego                           0.1.16       0.3.1       wheel
protobuf                          3.20.3       5.29.2      wheel
psutil                            5.9.0        6.1.1       wheel
PuLP                              2.8.0        2.9.0       wheel
pure-eval                         0.2.2        0.2.3       wheel
pyarrow                           14.0.2       18.1.0      wheel
pyasn1                            0.4.8        0.6.1       wheel
pyasn1-modules                    0.2.8        0.4.1       wheel
pycodestyle                       2.10.0       2.12.1      wheel
pycparser                         2.21         2.22        wheel
pycurl                            7.45.2       7.45.4      wheel
pydantic                          1.10.12      2.10.4      wheel
pydeck                            0.8.0        0.9.1       wheel
PyDispatcher                      2.0.5        2.0.7       wheel
pyee                              11.1.0       12.1.1      wheel
pyerfa                            2.0.0        2.0.1.5     wheel
pyflakes                          3.0.1        3.2.0       wheel
Pygments                          2.15.1       2.18.0      wheel
PyJWT                             2.4.0        2.10.1      wheel
pylint                            2.16.2       3.3.2       wheel
pylint-venv                       2.3.0        3.0.4       wheel
PyMySQL                           1.1.0        1.1.1       wheel
pyodbc                            5.0.1        5.2.0       wheel
pyOpenSSL                         24.0.0       24.3.0      wheel
pyparsing                         3.0.9        3.2.0       wheel
PyQt5                             5.15.10      5.15.11     wheel
PyQt5-sip                         12.13.0      12.16.1     wheel
PyQtWebEngine                     5.15.6       5.15.7      wheel
pytest                            7.4.0        8.3.4       wheel
python-dateutil                   2.8.2        2.9.0.post0 wheel
python-dotenv                     0.21.0       1.0.1       wheel
python-json-logger                2.0.7        3.2.1       wheel
python-lsp-black                  1.2.1        2.0.0       wheel
python-lsp-jsonrpc                1.0.0        1.1.2       wheel
python-lsp-server                 1.7.2        1.12.0      wheel
python-slugify                    5.0.2        8.0.4       wheel
python-snappy                     0.6.1        0.7.3       wheel
pytoolconfig                      1.2.6        1.3.1       wheel
pytz                              2023.3.post1 2024.2      wheel
pyviz_comms                       3.0.0        3.0.3       wheel
pywavelets                        1.5.0        1.8.0       wheel
pywin32                           305.1        308         wheel
pywin32-ctypes                    0.2.0        0.2.3       wheel
pywinpty                          2.0.10       2.0.14      wheel
PyYAML                            6.0.1        6.0.2       wheel
pyzmq                             25.1.2       26.2.0      wheel
QDarkStyle                        3.0.2        3.2.3       wheel
qstylizer                         0.2.2        0.2.4       wheel
QtAwesome                         1.2.2        1.3.1       wheel
qtconsole                         5.4.2        5.6.1       wheel
QtPy                              2.4.1        2.4.2       wheel
queuelib                          1.6.2        1.7.0       wheel
referencing                       0.30.2       0.35.1      wheel
regex                             2023.10.3    2024.11.6   wheel
requests                          2.31.0       2.32.3      wheel
requests-file                     1.5.1        2.1.0       wheel
rich                              13.3.5       13.9.4      wheel
rope                              1.7.0        1.13.0      wheel
rpds-py                           0.10.6       0.22.3      wheel
Rtree                             1.0.1        1.3.0       wheel
ruamel.yaml                       0.17.21      0.18.6      wheel
s3fs                              2023.10.0    2024.12.0   wheel
scikit-image                      0.22.0       0.25.0      wheel
scikit-learn                      1.2.2        1.6.0       wheel
scipy                             1.11.4       1.14.1      wheel
Scrapy                            2.8.0        2.12.0      wheel
seaborn                           0.12.2       0.13.2      wheel
semver                            2.13.0       3.0.2       wheel
Send2Trash                        1.8.2        1.8.3       wheel
service-identity                  18.1.0       24.2.0      wheel
setuptools                        68.2.2       75.6.0      wheel
sip                               6.7.12       6.9.1       wheel
six                               1.16.0       1.17.0      wheel
smart-open                        5.2.1        7.1.0       wheel
smmap                             4.0.0        5.0.1       wheel
sniffio                           1.3.0        1.3.1       wheel
soupsieve                         2.5          2.6         wheel
Sphinx                            5.0.2        8.1.3       wheel
sphinxcontrib-applehelp           1.0.2        2.0.0       wheel
sphinxcontrib-devhelp             1.0.2        2.0.0       wheel
sphinxcontrib-htmlhelp            2.0.0        2.1.0       wheel
